z_mm,measured_V
8,4.286403
9,4.276628
10,4.2619846
11,4.2328738
12,4.1105082
13,3.8988172
14,3.721701
15,3.5734702
16,3.4498922
17,3.3457378
18,3.2578592
19,3.1824926
20,3.1184264
21,3.0630888
22,3.0119942
23,2.9717304
24,2.9351614
25,2.9031378
26,2.8749266
27,2.849873
28,2.8290614
29,2.8094528
30,2.7908896
31,2.7757672
32,2.7614076
33,2.747703
34,2.73696
35,2.727038
36,2.7173804
37,2.7080548
38,2.7007818
39,2.6932162
40,2.6873802
41,2.6810266
42,2.6748188
43,2.6698926
44,2.6652102
45,2.6612608
46,2.6579278
47,2.6539394
48,2.6497852
49,2.6475268
50,2.6442232
