Distance_mm,Z_gauss
8,1087
9,879.06
10,727
11,636.05
12,563
13,482.94
14,419
15,369.21
16,328
17,284.63
18,249
19,222.52
20,200
21,178.86
22,160.8
23,145.24
24,131.75
25,120
26,109.98
27,101.12
28,93.27
29,86.26
30,80
31,74.37
32,69.3
33,64.72
34,60.56
35,56.78
36,53.33
37,50.18
38,47.29
39,44.64
40,42.19
41,39.94
42,37.85
43,35.92
44,34.13
45,32.47
46,30.92
47,29.48
48,28.13
49,26.87
50,25.69
,
"Note: 0-7mm and 31-50mm are extrapolated using a log-log power-law slope fit from the nearest measured points, beyond the NMR meter's actual measured range (8-30mm). Treat these as estimates, not verified readings.",
