x,y,z,B_gauss
0,0,-15,512.7238
-5,-2,-14,513.3408
0,-7,-13,511.5984
4,4,-13,511.6346
9,0,-12,511.4168
4,-3,-12,512.6874
-3,4,-12,512.1066
0,9,-12,511.5621
-10,-1,-11,512.7963
-7,-7,-11,511.3443
6,-8,-10,511.2716
-8,6,-10,511.5257
-4,11,-9,511.6710
8,8,-9,511.5257
1,-11,-9,509.6380
-4,0,-8,511.8524
12,3,-8,510.3278
7,-3,-7,511.3079
3,2,-7,510.7634
3,8,-7,511.1990
-2,6,-7,512.2881
-10,-5,-7,511.5621
-5,-10,-7,510.5092
1,-5,-6,509.8922
5,-13,-5,509.3839
-2,-14,-5,510.0011
-10,-10,-5,510.7634
-14,-2,-5,511.5257
-8,11,-5,512.3607
-2,14,-5,511.5984
5,13,-5,512.6149
14,-2,-5,509.4927
11,-8,-5,510.7997
-9,3,-4,511.5257
-5,-6,-3,510.8723
4,-8,-3,509.8195
9,2,-3,509.8195
14,3,-3,510.0011
12,8,-2,511.4168
4,3,-2,512.3970
-5,0,-2,512.2881
-14,4,-2,512.3243
-10,-4,-2,510.9812
-6,-12,-2,510.1100
0,-5,-1,510.1100
7,-4,-1,509.6380
4,8,-1,511.5621
-4,7,-1,513.1230
0,12,0,511.7073
8,12,0,511.4168
-12,9,0,511.6710
0,0,0,511.7435
0,-15,0,510.0737
9,-12,0,509.6017
-14,-5,1,511.0175
-5,14,1,512.6149
-9,-1,2,512.3243
-10,-10,2,512.5422
-5,-9,2,510.0373
1,-9,2,510.2189
14,-5,2,510.5819
9,5,2,511.8162
14,2,3,511.4532
4,14,3,512.9416
-8,5,3,513.4135
-4,1,3,511.8162
3,-4,3,511.4168
4,-14,3,510.5819
-4,-14,3,510.0373
8,-7,4,510.4730
8,-1,4,511.3806
5,9,4,512.8689
0,8,4,513.1594
-14,3,4,512.7238
-4,-5,5,511.7435
1,1,5,511.3806
10,10,5,511.4895
5,4,6,513.4135
-13,-2,6,511.4532
-7,-11,7,511.5984
-3,4,7,511.9613
-9,9,7,512.9053
-2,13,7,512.4332
2,-3,8,511.5621
6,-11,8,511.3806
11,-4,9,511.4895
11,3,9,511.3806
-6,-1,9,513.3046
-10,-6,9,512.7599
-11,2,10,513.4497
-2,-11,10,511.6346
4,10,10,513.4135
-1,0,11,513.8854
-4,8,12,513.7039
7,5,12,513.4497
2,-7,13,513.7039
-6,3,13,513.1594
-4,-3,14,512.2155
5,-2,14,512.6874
2,4,14,513.4497
